,Unnamed: 0.1,Video ID,Video Title,Channel,Published Date,Views,Likes,Comments,Subscribers,Country,Region,CategoryID,CategoryName,pub_month,pub_week,pub_day,pub_weekday,views_per_sub,likes_per_sub
0,0,26,3574,2052,8029,34727,686,16,4190000,12,5,20,0,10,43,20,0,0.0082880648477172,0.0001637231112832
1,1,1447,1910,4149,4296,45151,1514,21,188000,22,11,22,1,10,42,16,3,0.2401636161509779,0.0080531486534646
2,2,3989,2396,4430,4668,353713,6485,127,37300,72,35,25,2,10,42,17,4,9.482668024985925,0.1738559287954746
3,3,7437,7134,2861,6044,2171652,78431,183,43800,85,43,24,3,10,42,18,5,49.57996392776421,1.7906212186936372
4,4,2123,7164,1233,3901,246429,9321,949,2490000,85,43,28,4,10,42,16,3,0.0989674301335622,0.0037433719906136
5,5,7257,136,6140,2989,3877609,17845,207,55700,67,44,24,3,10,42,15,2,69.61471068742033,0.3203712680203228
6,6,3181,5220,4746,7456,40717,2050,50,116000,22,11,20,0,10,42,19,6,0.3510055947793553,0.017672261446022
7,7,162,136,2968,3036,1085428,17014,52,33600,67,22,26,5,10,42,15,2,32.3034433499003,0.5063539775601916
8,8,743,1191,598,1072,248605,2186,1062,2500000,30,14,25,2,10,41,11,5,0.0994419602232159,0.0008743996502401
9,9,6123,6801,3395,7468,128332,2524,8,565000,67,26,28,4,10,42,19,6,0.2271358811754315,0.0044672487305332
10,10,5050,7871,7052,8104,37549,2647,62,588000,36,17,25,2,10,43,20,0,0.0638587349341242,0.0045016930243315
11,11,1603,6750,6761,7542,217241,9329,1442,1840000,57,26,26,5,10,42,19,6,0.1180656967034257,0.0050701059401598
12,12,5042,5473,4935,7871,28758,989,34,444000,31,2,22,1,10,42,19,6,0.0647701243916117,0.0022274724606476
13,13,3860,1768,465,7975,61626,8714,222,1610000,12,5,20,0,10,42,19,6,0.0382769948590094,0.0054124189984975
14,14,6363,4211,335,3330,144718,9072,216,1150000,77,38,2,6,10,42,15,2,0.1258416297029307,0.0078886887924445
15,15,7399,3748,969,7585,449689,6225,963,10300000,91,2,20,0,10,42,19,6,0.0436591219748425,0.0006043688733622
16,16,7495,4101,4452,347,5278779,99107,4004,3110,67,29,10,7,10,41,6,0,1696.810993249759,31.856959177113467
17,17,1204,5605,6204,6720,227466,2217,10,192000,28,13,2,6,10,42,18,5,1.184712579621981,0.0115468148603392
18,18,8092,1505,3170,3066,433219,9043,421,141000,30,14,25,2,10,42,15,2,3.0724533868554125,0.06413429691988
19,19,7022,6395,1771,7360,2350472,42178,1368,2530000,0,40,1,8,10,42,19,6,0.9290399489960676,0.016671139655676
20,20,7443,1854,3339,116,3317118,24551,370,201000,67,38,10,7,9,39,27,5,16.502992522425263,0.1221436709270103
21,21,5503,8262,5605,2459,6365420,28167,179,1600000,93,48,17,9,10,42,14,1,3.9783850135093664,0.0176043639972725
22,22,6598,6940,2118,6935,287826,1755,11,85000,7,3,25,2,10,42,19,6,3.386148398254138,0.0206468159198127
23,23,2229,8065,7372,26,2567208,9302,231,34300,48,25,2,6,9,38,19,4,74.84353225853474,0.2711874289379318
24,24,38,4687,1031,3742,1385251,55536,583,1700000,62,29,1,8,10,42,16,3,0.8148530500864412,0.0326682160775199
25,25,4854,2591,3656,2539,299377,1033,4,313000,91,27,10,7,10,42,14,1,0.9564729825144328,0.0033003089446998
26,26,1045,3898,1100,6383,2314669,26278,13,99500,12,5,26,5,10,42,18,5,23.262771228429862,0.2640978482628315
27,27,1428,7830,7082,727,2429940,44121,783,44500,91,45,1,8,10,41,10,4,54.6041661985124,0.991460866047954
28,28,7216,7818,7311,3912,90978,2265,161,883000,87,45,28,4,10,42,16,3,0.1030327258972526,0.0025651160077961
29,29,2223,3674,1349,7043,113654,12339,643,10800,22,11,25,2,10,42,19,6,10.522544208869547,1.1423942227571522
30,30,2124,7521,6905,5010,2467125,40803,494,1390000,46,23,23,10,10,42,17,4,1.7749087950296438,0.0293546551405358
31,31,985,1961,2577,5892,24498,634,24,643000,64,30,20,0,10,42,18,5,0.0380994741843325,0.0009860015769804
